"kegg_id","GeneName","GeneID"
"ecs:ECs_1453","flagellar hook assembly protein","ECs_1453"
"ecs:ECs_1460","flagellar hook-filament junction protein 1","ECs_1460"
"ecs:ECs_2678","flagellar motor switching and energizing component","ECs_2678"
"ecs:ECs_2661","RNA polymerase sigma 28 factor FilA","ECs_2661"
"ecs:ECs_2663","flagellar filament capping protein","ECs_2663"
"ecs:ECs_5315","methyl-accepting chemotaxis protein II","ECs_5315"
"ecs:ECs_2677","flagellar basal-body MS-ring and collar protein","ECs_2677"
"ecs:ECs_2662","flagellin","ECs_2662"
"ecs:ECs_1458","flagellar basal body protein","ECs_1458"
"ecs:ECs_2679","negative regulator of FliI ATPase activity","ECs_2679"
"ecs:ECs_1455","flagellar component of cell-proximal portion of basal-body rod","ECs_1455"
"ecs:ECs_2682","flagellar hook-length control protein","ECs_2682"
"ecs:ECs_4405","cyclic-di-GMP phosphodiesterase","ECs_4405"
"ecs:ECs_2599","chemotaxis protein MotB","ECs_2599"
"ecs:ECs_2593","chemotaxis-specific methylesterase","ECs_2593"
"ecs:ECs_2664","flagellar protein potentiates polymerization","ECs_2664"
"ecs:ECs_1454","flagellar hook protein","ECs_1454"
"ecs:ECs_1456","flagellar component of cell-distal portion of basal-body rod","ECs_1456"
"ecs:ECs_2591","chemotaxis protein CheZ","ECs_2591"
"ecs:ECs_2683","flagellar biosynthesis protein","ECs_2683"
"ecs:ECs_2687","flagellar biosynthesis protein","ECs_2687"
"ecs:ECs_1461","flagellar hook-filament junction protein","ECs_1461"
"ecs:ECs_2596","methyl-accepting chemotaxis protein II","ECs_2596"
"ecs:ECs_2665","flagellar synthesis and assembly chaperone","ECs_2665"
"ecs:ECs_2600","flagellar motor protein MotA","ECs_2600"
"ecs:ECs_1457","flagellar protein of basal-body outer-membrane L ring","ECs_1457"
"ecs:ECs_2597","purine-binding chemotaxis protein","ECs_2597"
"ecs:ECs_2660","flagellar biosynthesis protein FliZ","ECs_2660"
"ecs:ECs_2590","flagellin export apparatus substrate specificity protein","ECs_2590"
"ecs:ECs_2598","chemotaxis protein CheA","ECs_2598"
"ecs:ECs_2684","flagellar motor switching and energizing component","ECs_2684"
"ecs:ECs_2589","flagellar export pore protein","ECs_2589"
"ecs:ECs_5092","hypothetical protein","ECs_5092"
"ecs:ECs_2594","chemotaxis protein methyltransferase CheR","ECs_2594"
"ecs:ECs_2689","flagellar export pore protein","ECs_2689"
"ecs:ECs_2592","chemotaxis regulator transmitting signal to flagellar motor component","ECs_2592"
"ecs:ECs_2680","flagellum-specific ATP synthase","ECs_2680"
"ecs:ECs_2595","methyl-accepting chemotaxis protein IV","ECs_2595"
"ecs:ECs_1449","anti-sigma factor for FliA","ECs_1449"
"ecs:ECs_1450","assembly protein for flagellar basal-body periplasmic P ring","ECs_1450"
"ecs:ECs_2681","flagellar protein","ECs_2681"
"ecs:ECs_2674","T3SS effector-like protein EspR","ECs_2674"
"ecs:ECs_1459","flagellar rod assembly protein and murein hydrolase","ECs_1459"
"ecs:ECs_4324","putative lipoprotein","ECs_4324"
"ecs:ECs_4325","O-methyltransferase","ECs_4325"
"ecs:ECs_1691","pseudogene","ECs_1691"
"ecs:ECs_1451","flagellar component of cell-proximal portion of basal-body rod","ECs_1451"
