"pathway","pval","padj","log2err","ES","NES","size","Direction"
"Sulfur metabolism",5.89379299367894e-06,7.66193089178262e-05,0.610526878385931,0.712359057851684,2.14539945740456,32,"Upregulated in SAC"
"Biotin metabolism",1.21284134047364e-05,0.000123553458087954,0.593325476396405,0.805867674286033,2.07834526503105,17,"Upregulated in SAC"
"Alanine, aspartate and glutamate metabolism",2.85230113022583e-05,0.000247199431286239,0.575610261071129,0.68682279673217,2.06849234132862,32,"Upregulated in SAC"
"Biosynthesis of cofactors",6.84861176214076e-08,1.7806390581566e-06,0.704975715167238,0.509504317111676,1.98342423970242,146,"Upregulated in SAC"
"Arginine biosynthesis",0.00146854297930536,0.00881125787583215,0.45505986738723,0.679635245951089,1.85270429952552,22,"Upregulated in SAC"
"Cationic antimicrobial peptide (CAMP) resistance",0.00164862428952316,0.00918519247020045,0.45505986738723,0.563578940407663,1.77095579610581,41,"Upregulated in SAC"
"Pyrimidine metabolism",0.00282549550574331,0.0137742905904986,0.431707695803346,0.506564461249185,1.68567692009337,54,"Upregulated in SAC"
"Purine metabolism",0.00240959533281936,0.0125298957306607,0.431707695803346,0.451978250680721,1.62026455910934,80,"Upregulated in SAC"
"Microbial metabolism in diverse environments",1.26721495474825e-05,0.000123553458087954,0.593325476396405,0.372848282492093,1.61911993466701,285,"Upregulated in SAC"
"Arginine and proline metabolism",0.0564968322901747,0.209845377077792,0.321775918075361,0.530830622097973,1.49443494224761,25,"Upregulated in SAC"
"Pentose phosphate pathway",0.0419390971459317,0.171978944278694,0.321775918075361,0.496626796660761,1.47751293617869,30,"Upregulated in SAC"
"Pentose and glucuronate interconversions",0.0418994984713028,0.171978944278694,0.321775918075361,0.502430115760991,1.47304018911443,28,"Upregulated in SAC"
"Nitrogen metabolism",0.0440971651996651,0.171978944278694,0.321775918075361,0.527620986988512,1.46648349797095,24,"Upregulated in SAC"
"Biosynthesis of amino acids",0.00723166484873898,0.0331805798942141,0.407017918923954,0.385528903941198,1.46119101774392,118,"Upregulated in SAC"
"ABC transporters",0.00120881409741393,0.00785729163319052,0.45505986738723,0.360860552492746,1.43154217439041,182,"Upregulated in SAC"
"Biosynthesis of secondary metabolites",0.000206088775169755,0.00146135676938553,0.518848077743792,0.324176164455722,1.42386993947172,355,"Upregulated in SAC"
"RNA degradation",0.103174603174603,0.365800865800866,0.227987202850442,0.558227185617922,1.41642558348253,16,"Upregulated in SAC"
"Porphyrin metabolism",0.188622754491018,0.565868263473054,0.176694268938498,0.455597562955419,1.24197143801691,22,"Upregulated in SAC"
"Degradation of aromatic compounds",0.204481792717087,0.590725178960473,0.163180127180689,0.466906787741151,1.23369374311869,19,"Upregulated in SAC"
"Ubiquinone and other terpenoid-quinone biosynthesis",0.187116564417178,0.565868263473054,0.179782316298324,0.449451916152,1.23077573995964,23,"Upregulated in SAC"
"Carbon fixation by Calvin cycle",0.212389380530973,0.59165613147914,0.16440575583821,0.455015821619675,1.22999841545697,21,"Upregulated in SAC"
"Homologous recombination",0.183544303797468,0.565868263473054,0.184706471207739,0.41443716869335,1.21505973905137,28,"Upregulated in SAC"
"Ascorbate and aldarate metabolism",0.241558441558442,0.628051948051948,0.142901149386948,0.484099734768572,1.19596280797056,15,"Upregulated in SAC"
"beta-Lactam resistance",0.250737463126844,0.630887810448187,0.150169802128406,0.441689005847703,1.19397337741706,21,"Upregulated in SAC"
"Glycolysis / Gluconeogenesis",0.280487804878049,0.677451682176092,0.16823816568964,0.335351656113435,1.09558469263761,47,"Upregulated in SAC"
"Selenocompound metabolism",0.380434782608696,0.872762148337596,0.11331290842208,0.404237511990448,1.04253483022212,17,"Upregulated in SAC"
