"pathway","NES","padj","GeneID","GeneName","logFC","FDR","Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_3387","3-mercaptopyruvate sulfurtransferase",-0.292232799369341,0.682247348848608,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_1019","aliphatic sulfonate ABC transporter periplasmic binding protein",-0.315498745615474,0.638655746237622,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_2377","thiosulfate reductase cytochrome B",-0.32156117329074,0.551423343753663,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_4868","cystathionine gamma-synthase",-0.343910049818525,0.309864231060286,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_0421","taurine ABC transporter permease",-0.4242157134179,0.565115772845294,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_3604","adenosine 5'-phosphosulfate kinase",-0.466979726268512,0.305261067004606,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_0981","anaerobic dimethyl sulfoxide reductase subunit C",-0.473020104618767,0.128016395846905,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_0419","taurine ABC transporter periplasmic binding protein",-0.487379776565804,0.418828238554169,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_0979","anaerobic dimethyl sulfoxide reductase subunit A",-0.515038662255511,0.157059535391595,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_1020","NAD(P)H-dependent FMN reductase",-0.604289747258669,0.34590216798883,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_3617","3'-phosphoadenosine 5'-phosphosulfate reductase",-0.617224891518791,0.459418899890651,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_3294","sulfate/thiosulfate ABC transporter permease",-0.644563526289537,0.148042533749604,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_0980","anaerobic dimethyl sulfoxide reductase subunit B",-0.66246526929553,0.054379431935693,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_3286","cysteine synthase A",-0.694764092093047,0.0467090456193818,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_3605","sulfate adenylyltransferase subunit 1",-0.703761821361827,0.0922750882617929,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_3618","sulfite reductase beta subunit",-0.828861267537094,0.265072327272651,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_3606","sulfate adenylyltransferase subunit 2",-0.868414861608651,0.0464598248389027,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_4842","sulfate transporter subunit",-0.899539767222412,0.0669851036745137,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_4268","thiosulfate:cyanide sulfurtransferase",-0.928297257060785,0.12111010173147,"Not Significant"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_3295","sulfate/thiosulfate ABC transporter permease",-1.11819667807043,0.0107220146681208,"Downregulated in SAC"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_3619","sulfite reductase alpha subunit flavoprotein",-1.34205572721744,0.0163091308746778,"Downregulated in SAC"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_0422","taurine dioxygenase",-1.41107880770476,0.0173583506876634,"Downregulated in SAC"
"Sulfur metabolism",2.14539945740456,7.66193089178262e-05,"ECs_3296","thiosulfate-binding protein",-1.6992236261781,0.00253024996236222,"Downregulated in SAC"
"Biotin metabolism",2.07834526503105,0.000123553458087954,"ECs_0852","7,8-diaminopelargonic acid synthase",-1.7925787581321,0.0334959315571781,"Downregulated in SAC"
"Biotin metabolism",2.07834526503105,0.000123553458087954,"ECs_0855","malonyl-ACP O-methyltransferase",-1.92763800406867,0.0398175833768854,"Downregulated in SAC"
"Biotin metabolism",2.07834526503105,0.000123553458087954,"ECs_0856","dethiobiotin synthetase",-2.10504498363753,0.0239266609315358,"Downregulated in SAC"
"Biotin metabolism",2.07834526503105,0.000123553458087954,"ECs_0854","8-amino-7-oxononanoate synthase",-2.30332451906519,0.0147125000907457,"Downregulated in SAC"
"Biotin metabolism",2.07834526503105,0.000123553458087954,"ECs_0853","biotin synthase",-2.48208863357692,0.0126438616189126,"Downregulated in SAC"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_3523","4-aminobutyrate aminotransferase",-0.419454699087477,0.45418606917814,"Not Significant"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_4092","glutamate synthase small subunit",-0.42655732548572,0.372889916242447,"Not Significant"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_1603","adenylosuccinate lyase",-0.490231128004951,0.127113828948898,"Not Significant"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_3833","periplasmic L-asparaginase 2",-0.530119735649704,0.142087225914748,"Not Significant"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_5153","adenylosuccinate synthetase",-0.555639030920608,0.589475899256632,"Not Significant"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_3196","amidophosphoribosyltransferase",-0.664589286524896,0.0664682751446937,"Not Significant"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_2098","glutamate decarboxylase B",-0.950820842117362,0.598818302516067,"Not Significant"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_4052","argininosuccinate synthetase",-0.992582822704281,0.0325501619305671,"Not Significant"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_4889","argininosuccinate lyase",-1.14038804059086,0.129189425169399,"Not Significant"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_0035","carbamoyl phosphate synthetase small subunit",-3.28774772416422,0.0452265567201431,"Downregulated in SAC"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_0036","carbamoyl-phosphate synthase large subunit",-3.51404245435987,0.0287854847448018,"Downregulated in SAC"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_5221","aspartate carbamoyltransferase regulatory subunit",-3.73957626834887,0.0470850126442065,"Downregulated in SAC"
"Alanine, aspartate and glutamate metabolism",2.06849234132862,0.000247199431286239,"ECs_5222","aspartate carbamoyltransferase",-3.7536859390314,0.0331162099648888,"Downregulated in SAC"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_5153","adenylosuccinate synthetase",-0.555639030920608,0.589475899256632,"Not Significant"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_3417","serine hydroxymethyltransferase",-0.576042061814717,0.185906713243396,"Not Significant"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_1029","dihydro-orotate oxidase",-0.584313126894649,0.216359087909963,"Not Significant"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_0173","uridylate kinase",-0.628206131462157,0.0747382082266096,"Not Significant"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_3307","coproporphyrinogen III oxidase",-0.677156052126721,0.0544051428650202,"Not Significant"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_3593","phenylacrylic acid decarboxylase",-0.697237178758608,0.135250928291855,"Not Significant"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_1440","dihydroorotase",-0.801898627023733,0.0526649170079911,"Not Significant"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_3045","GTP cyclohydrolase I",-0.915010035771833,0.0753841198401215,"Not Significant"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_4517","orotate phosphoribosyltransferase",-0.922172144482937,0.425432862159076,"Not Significant"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_3823","glutathione synthetase",-0.964077626503861,0.016055326528691,"Not Significant"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_0528","ferrochelatase",-1.39250158264463,0.0225628887352564,"Downregulated in SAC"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_0423","5-aminolevulinate dehydratase",-1.55449652012048,0.00193693205871683,"Downregulated in SAC"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_0852","7,8-diaminopelargonic acid synthase",-1.7925787581321,0.0334959315571781,"Downregulated in SAC"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_0855","malonyl-ACP O-methyltransferase",-1.92763800406867,0.0398175833768854,"Downregulated in SAC"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_0856","dethiobiotin synthetase",-2.10504498363753,0.0239266609315358,"Downregulated in SAC"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_0854","8-amino-7-oxononanoate synthase",-2.30332451906519,0.0147125000907457,"Downregulated in SAC"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_0853","biotin synthase",-2.48208863357692,0.0126438616189126,"Downregulated in SAC"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_0035","carbamoyl phosphate synthetase small subunit",-3.28774772416422,0.0452265567201431,"Downregulated in SAC"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_0036","carbamoyl-phosphate synthase large subunit",-3.51404245435987,0.0287854847448018,"Downregulated in SAC"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_5221","aspartate carbamoyltransferase regulatory subunit",-3.73957626834887,0.0470850126442065,"Downregulated in SAC"
"Biosynthesis of cofactors",1.98342423970242,1.7806390581566e-06,"ECs_5222","aspartate carbamoyltransferase",-3.7536859390314,0.0331162099648888,"Downregulated in SAC"
"Arginine biosynthesis",1.85270429952552,0.00881125787583215,"ECs_3747","amino acid kinase",-0.478682568153084,0.244629355569944,"Not Significant"
"Arginine biosynthesis",1.85270429952552,0.00881125787583215,"ECs_4210","acetylornithine delta-aminotransferase",-0.559495476957131,0.0952095569456989,"Not Significant"
"Arginine biosynthesis",1.85270429952552,0.00881125787583215,"ECs_0583","carbonate kinase",-0.696675487175729,0.15517507276528,"Not Significant"
"Arginine biosynthesis",1.85270429952552,0.00881125787583215,"ECs_3675","N-acetylglutamate synthase",-0.712065741985048,0.0510112788914734,"Not Significant"
"Arginine biosynthesis",1.85270429952552,0.00881125787583215,"ECs_4888","acetylglutamate kinase",-0.731516404476739,0.0499616104984994,"Not Significant"
"Arginine biosynthesis",1.85270429952552,0.00881125787583215,"ECs_4052","argininosuccinate synthetase",-0.992582822704281,0.0325501619305671,"Not Significant"
"Arginine biosynthesis",1.85270429952552,0.00881125787583215,"ECs_4889","argininosuccinate lyase",-1.14038804059086,0.129189425169399,"Not Significant"
"Arginine biosynthesis",1.85270429952552,0.00881125787583215,"ECs_4887","N-acetyl-gamma-glutamyl-phosphate reductase",-1.26986127817592,0.0247208152324518,"Downregulated in SAC"
"Arginine biosynthesis",1.85270429952552,0.00881125787583215,"ECs_0035","carbamoyl phosphate synthetase small subunit",-3.28774772416422,0.0452265567201431,"Downregulated in SAC"
"Arginine biosynthesis",1.85270429952552,0.00881125787583215,"ECs_0036","carbamoyl-phosphate synthase large subunit",-3.51404245435987,0.0287854847448018,"Downregulated in SAC"
"Cationic antimicrobial peptide (CAMP) resistance",1.77095579610581,0.00918519247020045,"ECs_0515","multidrug efflux system protein",-0.594342795587681,0.166155808701169,"Not Significant"
"Cationic antimicrobial peptide (CAMP) resistance",1.77095579610581,0.00918519247020045,"ECs_0516","multidrug efflux system",-0.692925550408657,0.106961002833594,"Not Significant"
"Cationic antimicrobial peptide (CAMP) resistance",1.77095579610581,0.00918519247020045,"ECs_4425","KDO phosphoethanolamine transferase",-0.706654430596225,0.138402298847581,"Not Significant"
"Cationic antimicrobial peptide (CAMP) resistance",1.77095579610581,0.00918519247020045,"ECs_1491","L,D-transpeptidase linking Lpp to murein",-0.725284067502263,0.116362537817582,"Not Significant"
"Cationic antimicrobial peptide (CAMP) resistance",1.77095579610581,0.00918519247020045,"ECs_4783","periplasmic protein disulfide isomerase I",-0.755611573338727,0.031950488285478,"Not Significant"
"Cationic antimicrobial peptide (CAMP) resistance",1.77095579610581,0.00918519247020045,"ECs_3923","transport channel",-0.782972952616253,0.0240146061147272,"Not Significant"
"Cationic antimicrobial peptide (CAMP) resistance",1.77095579610581,0.00918519247020045,"ECs_4214","peptidyl-prolyl cis-trans isomerase A",-1.16235470624975,0.0139385411757192,"Downregulated in SAC"
"Cationic antimicrobial peptide (CAMP) resistance",1.77095579610581,0.00918519247020045,"ECs_1864","multidrug efflux system protein",-1.65725575485061,0.00881650783513475,"Downregulated in SAC"
"Cationic antimicrobial peptide (CAMP) resistance",1.77095579610581,0.00918519247020045,"ECs_0165","serine endoprotease",-1.6652004611333,0.00441870095317666,"Downregulated in SAC"
"Cationic antimicrobial peptide (CAMP) resistance",1.77095579610581,0.00918519247020045,"ECs_1863","multidrug-efflux transport protein precursor",-2.01670003887468,0.00730155013650532,"Downregulated in SAC"
"Cationic antimicrobial peptide (CAMP) resistance",1.77095579610581,0.00918519247020045,"ECs_2138","multiple antibiotic resistance transcriptional regulator",-2.67290863326561,0.00448721833024348,"Downregulated in SAC"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_1029","dihydro-orotate oxidase",-0.584313126894649,0.216359087909963,"Not Significant"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_0173","uridylate kinase",-0.628206131462157,0.0747382082266096,"Not Significant"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_5341","thymidine phosphorylase",-0.649886158783999,0.10028591070134,"Not Significant"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_1258","pyrimidine oxygenase",-0.660547801103964,0.598818302516067,"Not Significant"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_3360","uracil phosphoribosyltransferase",-0.767257576937061,0.256509249175933,"Not Significant"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_1440","dihydroorotase",-0.801898627023733,0.0526649170079911,"Not Significant"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_4517","orotate phosphoribosyltransferase",-0.922172144482937,0.425432862159076,"Not Significant"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_1257","ureidoacrylate amidohydrolase",-1.25538381779501,0.253292954512929,"Not Significant"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_0390","cytosine/isoguanine deaminase",-1.54785667542582,0.0423664907943051,"Downregulated in SAC"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_0035","carbamoyl phosphate synthetase small subunit",-3.28774772416422,0.0452265567201431,"Downregulated in SAC"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_0036","carbamoyl-phosphate synthase large subunit",-3.51404245435987,0.0287854847448018,"Downregulated in SAC"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_5221","aspartate carbamoyltransferase regulatory subunit",-3.73957626834887,0.0470850126442065,"Downregulated in SAC"
"Pyrimidine metabolism",1.68567692009337,0.0137742905904986,"ECs_5222","aspartate carbamoyltransferase",-3.7536859390314,0.0331162099648888,"Downregulated in SAC"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_2559","phosphoribosylglycinamide formyltransferase 2",-0.414950492129732,0.347562231690954,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_3739","xanthine dehydrogenase molybdenum binding subunit",-0.428090574801524,0.288546529450591,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_3604","adenosine 5'-phosphosulfate kinase",-0.466979726268512,0.305261067004606,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_5343","purine nucleoside phosphorylase",-0.47103540017454,0.138935220602752,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_3747","amino acid kinase",-0.478682568153084,0.244629355569944,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_1603","adenylosuccinate lyase",-0.490231128004951,0.127113828948898,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_5342","phosphopentomutase",-0.506588180937897,0.109718474058301,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_5153","adenylosuccinate synthetase",-0.555639030920608,0.589475899256632,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_0582","anaerobic allantoin catabolic oxamate carbamoyltransferase",-0.588012454574093,0.27536701824894,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_3196","amidophosphoribosyltransferase",-0.664589286524896,0.0664682751446937,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_0583","carbonate kinase",-0.696675487175729,0.15517507276528,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_3605","sulfate adenylyltransferase subunit 1",-0.703761821361827,0.0922750882617929,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_0108","GMP reductase",-0.740187140492187,0.179288311970148,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_0585","N5-carboxyaminoimidazole ribonucleotide mutase",-0.818521236847839,0.0733008152256121,"Not Significant"
"Purine metabolism",1.62026455910934,0.0125298957306607,"ECs_3361","phosphoribosylaminoimidazole synthetase",-0.838635134730006,0.0590762967830201,"Not Significant"
